Ingredient,Dish,Meal,Date,Index,Vegetarian,Vegan,Gluten-Free
canola/olive oil blend,Breakfast Burrito,breakfast,2022-05-10,3,True,False,False
salt,Breakfast Burrito,breakfast,2022-05-10,3,True,False,False
pollock fish,Blackened Pollock with Corn Relish,dinner,2022-05-04,0,False,False,True
corn,Blackened Pollock with Corn Relish,dinner,2022-05-04,0,False,False,True
tomato,Blackened Pollock with Corn Relish,dinner,2022-05-04,0,False,False,True
onion,Blackened Pollock with Corn Relish,dinner,2022-05-04,0,False,False,True
red bell pepper,Blackened Pollock with Corn Relish,dinner,2022-05-04,0,False,False,True
green bell pepper,Blackened Pollock with Corn Relish,dinner,2022-05-04,0,False,False,True
canola olive oil,Blackened Pollock with Corn Relish,dinner,2022-05-04,0,False,False,True
apple cider vinegar,Blackened Pollock with Corn Relish,dinner,2022-05-04,0,False,False,True
cilantro,Blackened Pollock with Corn Relish,dinner,2022-05-04,0,False,False,True
garlic powder,Blackened Pollock with Corn Relish,dinner,2022-05-04,0,False,False,True
paprika,Blackened Pollock with Corn Relish,dinner,2022-05-04,0,False,False,True
salt,Blackened Pollock with Corn Relish,dinner,2022-05-04,0,False,False,True
cayenne pepper,Blackened Pollock with Corn Relish,dinner,2022-05-04,0,False,False,True
thyme,Blackened Pollock with Corn Relish,dinner,2022-05-04,0,False,False,True
apple,Spiced Apple Compote,breakfast,2022-05-03,8,False,True,True
cinnamon,Spiced Apple Compote,breakfast,2022-05-03,8,False,True,True
clove,Spiced Apple Compote,breakfast,2022-05-03,8,False,True,True
nutmeg,Spiced Apple Compote,breakfast,2022-05-03,8,False,True,True
cardamom,Spiced Apple Compote,breakfast,2022-05-03,8,False,True,True
ABF chicken (halal),Five Spice Chicken,lunch,2022-04-27,0,False,False,True
canola/olive oil blend,Five Spice Chicken,lunch,2022-04-27,0,False,False,True
garlic,Five Spice Chicken,lunch,2022-04-27,0,False,False,True
ginger,Five Spice Chicken,lunch,2022-04-27,0,False,False,True
crushed red pepper flakes,Five Spice Chicken,lunch,2022-04-27,0,False,False,True
sugar,Five Spice Chicken,lunch,2022-04-27,0,False,False,True
anise,Five Spice Chicken,lunch,2022-04-27,0,False,False,True
five spice powder,Five Spice Chicken,lunch,2022-04-27,0,False,False,True
onion,Five Spice Chicken,lunch,2022-04-27,0,False,False,True
squash,Five Spice Chicken,lunch,2022-04-27,0,False,False,True
corn,Five Spice Chicken,lunch,2022-04-27,0,False,False,True
cilantro,Five Spice Chicken,lunch,2022-04-27,0,False,False,True
ABF chicken (halal),Glazed Chicken,lunch,2022-05-07,0,False,False,True
mushroom,Mushroom Cauliflower Gyro,dinner,2022-05-09,13,False,True,False
cauliflower,Mushroom Cauliflower Gyro,dinner,2022-05-09,13,False,True,False
tomato,Mushroom Cauliflower Gyro,dinner,2022-05-09,13,False,True,False
garlic,Mushroom Cauliflower Gyro,dinner,2022-05-09,13,False,True,False
garbanzo bean,Mushroom Cauliflower Gyro,dinner,2022-05-09,13,False,True,False
"pickled onion(onion, red wine vinegar, lime juice, lemon juice, salt, sugar, black pepper, oregano)",Mushroom Cauliflower Gyro,dinner,2022-05-09,13,False,True,False
hummus,Mushroom Cauliflower Gyro,dinner,2022-05-09,13,False,True,False
vegan mayo,Mushroom Cauliflower Gyro,dinner,2022-05-09,13,False,True,False
tahini sauce,Mushroom Cauliflower Gyro,dinner,2022-05-09,13,False,True,False
mung bean protein,"Plant Powered ""Eggs”",breakfast,2022-04-27,5,False,True,True
canola oil,"Plant Powered ""Eggs”",breakfast,2022-04-27,5,False,True,True
onion,"Plant Powered ""Eggs”",breakfast,2022-04-27,5,False,True,True
gellan gum,"Plant Powered ""Eggs”",breakfast,2022-04-27,5,False,True,True
carrot extractives,"Plant Powered ""Eggs”",breakfast,2022-04-27,5,False,True,True
natural flavors,"Plant Powered ""Eggs”",breakfast,2022-04-27,5,False,True,True
turmeric extractives,"Plant Powered ""Eggs”",breakfast,2022-04-27,5,False,True,True
potassium citrate,"Plant Powered ""Eggs”",breakfast,2022-04-27,5,False,True,True
salt,"Plant Powered ""Eggs”",breakfast,2022-04-27,5,False,True,True
soy lecithin,"Plant Powered ""Eggs”",breakfast,2022-04-27,5,False,True,True
sugar,"Plant Powered ""Eggs”",breakfast,2022-04-27,5,False,True,True
tapioca syrup,"Plant Powered ""Eggs”",breakfast,2022-04-27,5,False,True,True
tetrasodium pyrophosphate,"Plant Powered ""Eggs”",breakfast,2022-04-27,5,False,True,True
transglutaminase,"Plant Powered ""Eggs”",breakfast,2022-04-27,5,False,True,True
green beans,Blistered Green Beans,lunch,2022-04-24,5,False,True,False
canola/olive oil blend,Blistered Green Beans,lunch,2022-04-24,5,False,True,False
garlic,Blistered Green Beans,lunch,2022-04-24,5,False,True,False
fried shallots,Blistered Green Beans,lunch,2022-04-24,5,False,True,False
broccoli,Roasted Broccoli,lunch,2022-05-05,5,False,True,True
olive oil,Roasted Broccoli,lunch,2022-05-05,5,False,True,True
salt,Roasted Broccoli,lunch,2022-05-05,5,False,True,True
zucchini,Zesty Turmeric Roasted Zucchini,lunch,2022-05-03,5,False,True,True
canola/olive oil blend,Zesty Turmeric Roasted Zucchini,lunch,2022-05-03,5,False,True,True
garlic,Zesty Turmeric Roasted Zucchini,lunch,2022-05-03,5,False,True,True
salt,Zesty Turmeric Roasted Zucchini,lunch,2022-05-03,5,False,True,True
dill,Zesty Turmeric Roasted Zucchini,lunch,2022-05-03,5,False,True,True
Seasonal Assortment of Fresh Vegetables,Performance Bar,lunch,2022-05-07,7,False,False,False
Salads,Performance Bar,lunch,2022-05-07,7,False,False,False
Beans,Performance Bar,lunch,2022-05-07,7,False,False,False
Whole Grains,Performance Bar,lunch,2022-05-07,7,False,False,False
Hard Boiled Eggs,Performance Bar,lunch,2022-05-07,7,False,False,False
