Ingredient,Dish,Meal,Date,Index,Vegetarian,Vegan,Gluten-Free
parsley,Tabouli,dinner,2022-05-09,16,False,True,False
green onion,Tabouli,dinner,2022-05-09,16,False,True,False
cucumber,Tabouli,dinner,2022-05-09,16,False,True,False
lemon juice,Tabouli,dinner,2022-05-09,16,False,True,False
salt,Tabouli,dinner,2022-05-09,16,False,True,False
olive oil,Tabouli,dinner,2022-05-09,16,False,True,False
seasonal vegetables,Seasonal Steamed Vegetables,lunch,2022-05-02,4,False,True,True
seasonal vegetables,Seasonal Steamed Vegetables,dinner,2022-05-01,4,False,True,True
bell peppers,Charred Fajitas Vegetables,dinner,2022-04-27,5,False,True,False
onions,Charred Fajitas Vegetables,dinner,2022-04-27,5,False,True,False
mushrooms,Charred Fajitas Vegetables,dinner,2022-04-27,5,False,True,False
squash,Charred Fajitas Vegetables,dinner,2022-04-27,5,False,True,False
canola/olive oil blend,Charred Fajitas Vegetables,dinner,2022-04-27,5,False,True,False
cumin,Charred Fajitas Vegetables,dinner,2022-04-27,5,False,True,False
garlic,Charred Fajitas Vegetables,dinner,2022-04-27,5,False,True,False
salt,Charred Fajitas Vegetables,dinner,2022-04-27,5,False,True,False
grass fed beef (halal),Mediterranean Beef,dinner,2022-05-10,11,False,False,True
lemon juice,Mediterranean Beef,dinner,2022-05-10,11,False,False,True
canola oil,Mediterranean Beef,dinner,2022-05-10,11,False,False,True
